country,id,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Singapura,SGP,51631054,35749876,68715085,64860971,71337759,94029240,77417994,68105229,88880648,81359335,101302799,113212583,109212602,115519334,115053879,116524277,116530141,116113064,130846364,100727394,76719445
Malaysia,MYS,13263635,12814306,8896421,10311111,11682554,12259425,20159699,47090119,40188924,35713959,48097261,38028773,45706215,58206797,40950511,51356179,47570967,53756754,29989229,25973855,46263295
Arab Saudi,SAU,48347214,40166934,34418015,41356593,42746361,42724371,42907621,37282579,40232904,40100231,44205031,39316654,34306599,45761190,49510485,46275756,44058431,40220443,46240572,42590965,44052567
Kuwait,KWT,22607186,22711272,22701010,19290361,20426511,17958500,18349189,17921850,14034751,18619666,13042269,9763560,14602826,9721779,10053095,7454610,3582904,4145115,2810322,0,0
Brunei Darussalam,BRN,571740,1478461,1258561,3506672,5826617,19051403,21361086,22176915,22464251,10337499,7988234,8853907,3503007,5627241,5099481,1787787,1750404,600327,0,0,0
Nigeria,NGA,14026688,16646430,41099310,26311768,24565762,15489023,0,7166541,905255,8402379,10880652,13603014,22992744,27237547,29564822,22450324,28835487,24976975,34055913,28972558,16955023
China,CHN,8436097,10769969,11385689,17171991,16193436,19920741,15028699,6613859,3052945,5877194,7913468,5476976,3255253,1944649,1461602,2656392,1564955,3861444,3197346,4243337,4628162
Korea Selatan,KOR,0,0,0,0,0,0,0,13309081,16477107,12782054,23064578,43510880,27928033,22470115,33838945,28095157,13874957,12117223,15373209,14162293,6254689
Azerbaijan,AZE,0,0,0,0,0,0,0,1514378,974890,11511032,11124008,15052888,10728188,15780757,22229691,20444103,10720858,7776397,6481186,0,0
Uni Emirat Arab,ARE,0,0,0,0,0,0,0,761587,2209995,2620475,3077867,3862910,9765759,10769236,11296263,15623162,18580084,24069521,14682723,19631206,21922564
Turki,TUR,0,0,0,0,0,0,0,7134289,7643724,5391215,733,1957843,0,9356012,6796376,0,0,0,0,0,0
Thailand ,THA,2662256,2462880,4444179,4887644,8782806,6182855,292467,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vietnam,VNM,5452054,4068883,3931812,7662782,8630342,6259087,8926474,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aljazair,DZA,0,13538510,5237285,5131000,3421644,947769,1929256,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Qatar,QAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8542382,13964383,10356557,15095402,11734597,9723978
Australia,AUS,573939,1743807,1182329,5459384,5103146,5322313,3889298,0,0,0,0,0,0,0,0,2539112,13057662,16245479,8497669,12350317,9383866
Amerika Serikat,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,382626,1621396,6067774,13748881,18810979,20650809
Lainnya,OTHERS,19017685,28106152,23932450,17432206,37251060,29140415,34185654,25562642,22977351,31212606,26164435,27884786,42387924,37168964,32357552,29973836,38515485,48906493,39735197,20793011,19450155
