,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
World,2047440,2884170,1838528,2395065,3268505,3399965,3309479,3061385,1808353,1495889,1948122,2523878,2364828,
Afghanistan,,,,,,,,,20,,,89,61,
Albania,80,118,126,278,413,523,723,612,347,221,196,383,301,
Algeria,59188,77822,44443,56087,72212,70716,63877,58408,33218,28586,33823,39480,33554,
Angola,42354,62601,39333,48211,64552,68318,66505,57336,31150,25580,32761,37565,33868,
Antigua and Barbuda,17,17,13,1,1,0,4,1,0,1,0,1,4,
Argentina,6095,6561,5659,5388,4956,4962,3557,3200,1442,1445,1626,2536,2343,
Armenia,13,6,6,41,101,108,88,90,92,61,72,81,69,
"Aruba, the Netherlands with respect to",5114,5361,1821,144,5033,1200,110,140,249,186,45,125,50,
Australia,31648,59868,45372,59752,75819,72890,65221,63956,47494,50414,69904,91080,87819,
Austria,4400,6105,4235,4770,5900,5980,4625,4230,2964,2543,3166,3879,4019,
Azerbaijan,20131,28469,19970,25108,32871,30701,29987,26374,14138,12000,13867,17879,17800,
Bahamas,168,211,112,160,216,320,238,165,70,46,73,102,80,
"Bahrain, Kingdom of",10809,13789,8914,11505,15491,13026,11074,11040,7739,6082,8411,10594,9895,
Bangladesh,213,263,152,145,280,447,279,348,178,52,54,26,20,
Barbados,279,149,69,118,162,169,148,143,90,77,108,121,127,
Belarus,8513,12090,7977,7016,14517,16391,12044,12084,7768,4849,6891,8477,6821,
Belgium,30284,44085,26157,36274,51508,51287,60096,53695,33148,27566,35939,44224,36724,
Belize,72,119,70,102,155,102,81,58,27,18,21,26,22,
Benin,8,1,0,40,45,38,37,106,23,15,18,26,26,
Bermuda,,,,,,1,,,0,0,0,0,0,
Bhutan,246,255,211,232,227,175,178,134,156,,,,,
"Bolivia, Plurinational State of",2306,3535,2073,3015,4149,5910,6346,6675,4033,2198,2734,3142,2797,
Bosnia and Herzegovina,329,492,522,725,817,463,647,564,357,362,533,702,532,
Botswana,13,17,11,16,23,34,32,39,24,12,9,11,15,
Brazil,13297,18689,13657,19843,26791,26469,17822,20650,13748,11581,18723,29671,30314,
Brunei Darussalam,7386,9919,6889,8476,11890,12448,11049,9725,5907,4284,4989,5982,6412,
