country,id,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Jepang,JPN,"4,460.50","4,162.30","3,753.50","4,407.70","4,899.80","5,158.80","5,597.50","5,759.00","7,963.70","4,665.90","5,892.00","9,338.80","6,530.60","6,487.50","5,004.30","3,175.60","2,100.20","2,480.00","2,507.50","2,122.90",775.4
Korea Selatan,KOR,"1,350.50",752.5,"1,010.80","1,207.50","1,577.80","2,345.40","2,725.50","2,320.40","2,657.70","1,519.60","2,877.30","6,072.90","5,946.60","4,163.60","3,850.50","1,647.90","1,317.50","1,344.80","1,357.80",825.1,756.3
Tiongkok,CHN,663.4,711.9,122.9,110,161.1,"1,075.90","1,814.30","1,869.00","2,469.00","1,040.50",339.5,412.5,429.8,457.4,818.2,"1,089.10",866.3,"1,041.80","2,363.80","1,892.40","1,543.00"
Thailand,THA,0,0,0,0,16.4,19.3,21.2,35.4,70,45.7,67.3,96.3,0,0,0,26.3,1.4,62.7,111.7,55.2,43.9
Filipina,PHL,0,0,14.2,13.1,21.6,24.9,13.4,0,0,0,2.9,2.1,0,0,0,0,0,3.5,0,1.6,0
Malaysia,MYS,0,0,2.2,7.9,30.8,3.5,4.3,0,0,134.5,320.3,350.5,440.3,426,634.5,286.1,187,239.3,228.1,170.7,119.2
Australia,AUS,0,0,2,2.3,2.8,2.3,5.6,0,0,0,0,19.7,0,0,0,27,0,0,0,0,14.8
Singapura,,0,5.8,0,0,0,0,0,0,0,"1,154.40","2,581.90","4,372.90","5,039.20","4,773.70","4,887.80","2,786.20","1,705.00","2,480.30","3,205.70","2,928.00","1,701.80"
Hongkong,,7.1,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lainnya,,143.4,98.8,672,728.2,"1,039.30",523.6,15.3,0,0.1,375,"1,588.30","2,205.70","2,134.10","1,821.00","1,985.00","1,302.60",859.4,"1,094.10",602.8,265.2,443.3
