country,id,import_value_2000,import_value_2001,import_value_2002,import_value_2003,import_value_2004,import_value_2005,import_value_2006,import_value_2007,import_value_2008,import_value_2009,import_value_2010,import_value_2011,import_value_2012,import_value_2013,import_value_2014,import_value_2015,import_value_2016,import_value_2017,import_value_2018,import_value_2019,import_value_2020
Thailand,THA,3261.2,3298.4,3244.9,3858.8,4663,4529.5,3299.8,4287.1,6334.3,4612.9,7470.7,10405.1,11438.5,10703.1,9781,8083.4,8666.9,9281.6,10952.8,9469.1,6483.8
Singapura,,9375.6,7301.4,11775.6,10712.7,12148.6,15300.2,13265.8,9839.8,21789.5,15550.4,20240.8,25964.7,26087.3,25581.8,25185.7,18022.5,14548.3,16888.6,21439.5,17589.8,12341.2
Filipina,PHL,143.3,111.9,188,175.1,205.6,289.5,359.4,359.9,755.5,544,706.3,852.4,799.7,777.4,699.7,683.1,821.8,859.3,958.4,821.9,592
Malaysia,MYS,3026.6,2936.4,2606.7,2521,2964.7,4001.8,5587.3,6411.9,8922.3,5688.4,8648.7,10404.9,12243.5,13322.5,10855.4,8530.7,7200.9,8858.2,8603,7775.3,6933
Myanmar,MMY,85,72.6,145.2,66.2,36.9,30,56.7,30.4,29.7,29.1,31.9,71.3,63.5,73.2,122.1,160.4,113.3,145.7,151.6,182.7,187.2
Kamboja,KHM,0.2,0.1,1.3,5.8,3.8,2.5,3.1,1.3,2,3.4,4.7,7.9,11.6,17.8,18.7,21.1,25.3,28.3,33,42.6,47.4
Brunei Darussalam,BRN,85.7,214.3,184.9,498,814,2629,2930.5,1864.7,2416.6,639.6,666.2,1018.4,419.8,645.4,594.3,131.4,87.7,42.5,20.1,30.6,75.3
Laos,LAO,1.2,0.4,0.3,12.3,0,0,0,2.9,0.2,0.4,0.6,1.3,3.3,7.6,51.3,0.8,4.2,11.9,25.7,31.1,42.3
Vietnam,VNM,1302.6,800.5,1206.9,1710.3,1363.1,1062.9,1710.7,994.2,717.7,653.8,1142.3,2382.9,2595,2722.6,3417.8,3161.5,3228.4,3228.8,3794.6,3848.2,3130.6
Jepang,JPN,2766.1,2666.8,2798.2,2272.6,2653.9,2661.4,2206.9,6526.7,15128,9843.7,16965.8,19436.6,22767.8,19284.3,17007.6,13263.5,12984.8,15240,17976.7,15661.8,10672.1
Tiongkok,CHN,,,6326.6,7240.2,7638.4,8904.6,8794.8,8557.9,15247.2,14002.2,20424.2,26212.2,29385.8,29849.5,30624.3,29410.9,30800.5,35766.8,45537.8,44930.6,39634.7
Korea Selatan,KOR,,,,,1614.4,3552.8,3071.4,3196.7,6920.1,4742.3,7703,12999.7,11970.4,11592.6,11847.4,8427.2,6674.6,8122.3,9088.9,8421.3,6849.4
Lainnya,,23779.5,23116.4,17642.9,16113.6,15679.3,13814.2,14440.6,9898,17734.1,12932.6,17016.9,22505.3,24086.7,24471.9,23050.7,15123.6,13681,17602.2,22373.6,20194,16836.3
Australia,AUS,5610.6,4947.8,5491.3,5313.4,8021.7,6986.9,7525.3,3004,3997.5,3436,4099,5177.1,5297.6,5038.2,5647.5,4815.8,5260.9,6008.9,5825.5,5515.3,4646.6
Selandia Baru,NZL,,,,,328,390.5,473.3,503.5,706.7,556.8,726.9,729.2,696.3,806,836,637,660.9,751.2,808.5,763.6,757
Oceania Lainnya,,410,454.8,449.8,445.2,61.4,59.8,13.5,26.5,53.9,154,54.3,37.6,62.4,23.4,38.8,27.4,37.3,185.1,240,208.9,158
Amerika Serikat,USA,4582.1,5896.5,3824.1,4054.7,3740.2,3731.1,4623.4,4787.2,7880.1,7083.9,9399.2,10813.2,11602.6,9065.7,8170.1,7593.2,7298.4,8121.6,10176.2,9261.6,8580.2
Kanada,CAN,1683.9,1071.5,1383.3,1067.8,1793.9,2175,1924.4,1055.6,1871.5,992.5,1108.4,2015.8,1810.8,2067.4,1860.2,1609.3,1383,1553.6,1840.8,1838.7,1615.5
Meksiko,MEX,,,,,16.4,28.7,31.4,67.8,149.4,139.8,212.9,412.7,568.4,515.8,187.5,197.6,177,219.6,287.3,265.7,269.4
Amerika Lainnya,,2664.7,1594.6,2322.3,2277,3634.9,3596.9,4384.2,1484,2494.6,2282,3212.9,4231.1,4457,4768.4,4567.2,4136.6,4233.9,3722,3819.9,4348.2,4893.4
Belanda,NLD,735.8,796.5,768.9,641.3,632.5,394.5,434.9,504,602.7,554.1,681.9,808.5,880.2,1033.8,908.3,785.2,723.6,1026.5,1239.3,832,804.3
Perancis,FRA,249.4,207.2,312,203.9,256.4,336,295.5,1443.7,1689.7,1633.1,1340.5,2004.6,1924.2,1590.7,1332.5,1336.9,1362,1585.4,1655.3,1424.3,1358.4
Jerman,DEU,992,951,758.5,600.3,775.7,704.6,919.3,1982,3068.8,2373.5,3006.7,3393.8,4188.6,4426.3,4091.2,3471.7,3159.5,3538.1,3973,3476.5,3023.9
Austria,AUT,36.6,55.7,69.5,59.2,34.2,34.5,30.2,127.7,358.5,259.3,292,396.4,324.5,383.6,343,316.2,358.6,342,382,255.2,289.1
Belgia,BEL,565.6,485.9,431,351.4,372.3,420.3,376.3,338.4,620.2,434.3,555.4,593.6,628.1,642.5,585.5,559.4,491.1,637.5,603.4,633.6,526
